State,Track,2023 # of Thoroughbreds Dead from Training or Racing (so far)
Arizona,Rillito,2
Arizona,Turf,15
Arkansas,Oaklawn,15
California,Del Mar,5
California,Golden Gate,7
California,Los Alamitos,7
California,Pleasanton,2
California,San Luis Rey,1
California,Santa Anita,12
California,Santa Rosa,1
Delaware,Delaware,5
Florida,Gulfstream,6
Florida,Tampa Bay,1
Illinois,Fairmount,6
Illinois,Hawthorne,5
Indiana,Horseshoe,4
Kentucky,Churchill,14
Kentucky,Ellis,2
Kentucky,Keeneland,8
Kentucky,Turfway,11
Louisiana,Delta,3
Louisiana,Evangeline,2
Louisiana,Fair Grounds,4
Louisiana,Louisiana,1
Maryland,Laurel,14
Maryland,Pimlico,1
New Jersey,Monmouth,5
New Mexico,Sunland,6
New York,Aqueduct,12
New York,Belmont,14
New York,Finger Lakes,8
New York,Saratoga,13
North Dakota,North Dakota,1
Ohio,Belterra,4
Ohio,Mahoning,7
Ohio,Thistledown,9
Oregon,Grants Pass,2
Pennsylvania,Parx,15
Pennsylvania,Penn,6
Texas,Lone Star,5
Texas,Sam Houston,5
Virginia,Foxfield,1
Virginia,Great Meadow,1
Washington,Emerald,1
West Virginia,Charles Town,20
West Virginia,Mountaineer,8
Wyoming,Wyoming,1
0
"SOURCE: Scripps News Analysis of Horseracing Wrongs, Equibase, and Pedigree Query data"
