name,date,notes,year,split_index,race_train_stall,details,track,date_dt
In My Heart,Jan 1,"Los Alamitos R – “[multiple] fractures, [multiple] ruptures”",2023,"(13, 14)",R,"“[multiple] fractures, [multiple] ruptures”",Los Alamitos,2023-01-01
No Huddle,Jan 1,"Sunland R – “fell, spinal cord injury”",2023,"(8, 9)",R,"“fell, spinal cord injury”",Sunland,2023-01-01
Reads Codigo,Jan 1,Sunland R – “sesamoid fracture”,2023,"(8, 9)",R,“sesamoid fracture”,Sunland,2023-01-01
Awesome Charge,Jan 2,Charles Town T – “sesamoid fracture”,2023,"(13, 14)",T,“sesamoid fracture”,Charles Town,2023-01-02
Spartak,Jan 3,"Parx T – “injured, euthanized” (had been raced 42 times)",2023,"(5, 6)",T,"“injured, euthanized” (had been raced 42 times)",Parx,2023-01-03
Captain Delightful,Jan 4,"Meadows S – “illness, [found dead]”",2023,"(8, 9)",S,"“illness, [found dead]”",Meadows,2023-01-04
A Little Bit,Jan 4,"Parx R – “injured, vanned off, euthanized” (two years old, first race)",2023,"(5, 6)",R,"“injured, vanned off, euthanized” (two years old, first race)",Parx,2023-01-04
Last Gifted Eagle,Jan 5,"Turf R – “[multiple] pelvic/vertebral fractures, bone exposed”",2023,"(5, 6)",R,"“[multiple] pelvic/vertebral fractures, bone exposed”",Turf,2023-01-05
El Tigre Terrible,Jan 6,Oaklawn S – “horse found dead at 5 am – heart failure” (five years old),2023,"(8, 9)",S,“horse found dead at 5 am  heart failure” (five years old),Oaklawn,2023-01-06
Ma Coco,Jan 6,"Tampa Bay R – “pulled up in distress, euthanized”",2023,"(10, 11)",R,"“pulled up in distress, euthanized”",Tampa Bay,2023-01-06
unidentified,early Jan,Gulfstream S – “sudden death”,2023,"(11, 12)",S,“sudden death”,Gulfstream,
Firing Carol,Jan 7,"Aqueduct R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Aqueduct,2023-01-07
Spenny Denny,Jan 7,Charles Town T – “scapula fracture” (being prepped for debut),2023,"(13, 14)",T,“scapula fracture” (being prepped for debut),Charles Town,2023-01-07
Tap Union,Jan 7,Golden Gate S – “gastric rupture” (three years old),2023,"(12, 13)",S,“gastric rupture” (three years old),Golden Gate,2023-01-07
Bo Derek,Jan 8,"Gulfstream R – “went wrong, fell”",2023,"(11, 12)",R,"“went wrong, fell”",Gulfstream,2023-01-08
Big Future,Jan 8,Los Alamitos T – “catastrophic scapular fracture” (two years old),2023,"(13, 14)",T,“catastrophic scapular fracture” (two years old),Los Alamitos,2023-01-08
Alsalam,Jan 9,Los Alamitos T – “musculoskeletal” (two years old),2023,"(13, 14)",T,“musculoskeletal” (two years old),Los Alamitos,2023-01-09
Hard Timer,Jan 10,Parx S – “sudden death” (four years old),2023,"(5, 6)",S,“sudden death” (four years old),Parx,2023-01-10
