name,date,notes,year,split_index,race_train_stall,details,track,date_dt,fy_TB,fy_QH,fy_pq,State,Types,TB
In My Heart,Jan 1,"Los Alamitos R – “[multiple] fractures, [multiple] ruptures”",2023,"(13, 14)",R,"“[multiple] fractures, [multiple] ruptures”",Los Alamitos,2023-01-01,,2018.0,,California,TQ,Q
No Huddle,Jan 1,"Sunland R – “fell, spinal cord injury”",2023,"(8, 9)",R,"“fell, spinal cord injury”",Sunland,2023-01-01,2019.0,,2019.0,New Mexico,TQ,T
Reads Codigo,Jan 1,Sunland R – “sesamoid fracture”,2023,"(8, 9)",R,“sesamoid fracture”,Sunland,2023-01-01,2020.0,,2020.0,New Mexico,TQ,T
Awesome Charge,Jan 2,Charles Town T – “sesamoid fracture”,2023,"(13, 14)",T,“sesamoid fracture”,Charles Town,2023-01-02,2018.0,,2018.0,West Virginia,T,T
Spartak,Jan 3,"Parx T – “injured, euthanized” (had been raced 42 times)",2023,"(5, 6)",T,"“injured, euthanized” (had been raced 42 times)",Parx,2023-01-03,2016.0,,2016.0,Pennsylvania,T,T
A Little Bit,Jan 4,"Parx R – “injured, vanned off, euthanized” (two years old, first race)",2023,"(5, 6)",R,"“injured, vanned off, euthanized” (two years old, first race)",Parx,2023-01-04,2020.0,,2020.0,Pennsylvania,T,T
Last Gifted Eagle,Jan 5,"Turf R – “[multiple] pelvic/vertebral fractures, bone exposed”",2023,"(5, 6)",R,"“[multiple] pelvic/vertebral fractures, bone exposed”",Turf,2023-01-05,,2020.0,,Arizona,TQ,Q
Ma Coco,Jan 6,"Tampa Bay R – “pulled up in distress, euthanized”",2023,"(10, 11)",R,"“pulled up in distress, euthanized”",Tampa Bay,2023-01-06,2018.0,,2018.0,Florida,T,T
Firing Carol,Jan 7,"Aqueduct R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Aqueduct,2023-01-07,2018.0,,2018.0,New York,T,T
Spenny Denny,Jan 7,Charles Town T – “scapula fracture” (being prepped for debut),2023,"(13, 14)",T,“scapula fracture” (being prepped for debut),Charles Town,2023-01-07,,,2019.0,West Virginia,T,T
Bo Derek,Jan 8,"Gulfstream R – “went wrong, fell”",2023,"(11, 12)",R,"“went wrong, fell”",Gulfstream,2023-01-08,2020.0,,2020.0,Florida,T,T
Big Future,Jan 8,Los Alamitos T – “catastrophic scapular fracture” (two years old),2023,"(13, 14)",T,“catastrophic scapular fracture” (two years old),Los Alamitos,2023-01-08,,,2020.0,California,TQ,T
Alsalam,Jan 9,Los Alamitos T – “musculoskeletal” (two years old),2023,"(13, 14)",T,“musculoskeletal” (two years old),Los Alamitos,2023-01-09,,,2020.0,California,TQ,T
Little O Little E,Jan 11,Charles Town R (euth Mar 21) – “bowed tendon”,2023,"(13, 14)",R,(euth Mar 21)  “bowed tendon”,Charles Town,2023-01-11,2017.0,,2017.0,West Virginia,T,T
Gentlemen's Cry,Jan 11,"Oaklawn T – “open, comminuted fracture” (being prepped for debut)",2023,"(8, 9)",T,"“open, comminuted fracture” (being prepped for debut)",Oaklawn,2023-01-11,,,2020.0,Arkansas,T,T
Bloodstockshalltab,Jan 12,Batavia R – “horse took a bad step”,2023,"(8, 9)",R,“horse took a bad step”,Batavia,2023-01-12,,,,New York,H,H
Time to Two Step,Jan 12,"Parx T – “injured, euthanized”",2023,"(5, 6)",T,"“injured, euthanized”",Parx,2023-01-12,2016.0,,2016.0,Pennsylvania,T,T
Kat's Hitman,Jan 12,"Turf R – “[multiple] fractures, tendon tear, hemorrhage”",2023,"(5, 6)",R,"“[multiple] fractures, tendon tear, hemorrhage”",Turf,2023-01-12,2017.0,,2017.0,Arizona,TQ,T
Cosmic Rewind,Jan 13,Charles Town R – “multiple fractures”,2023,"(13, 14)",R,“multiple fractures”,Charles Town,2023-01-13,2020.0,,2020.0,West Virginia,T,T
Goldbar,Jan 14,Laurel T – “suspected thorax trauma”,2023,"(7, 8)",T,“suspected thorax trauma”,Laurel,2023-01-14,2019.0,,2019.0,Maryland,T,T
Orbert,Jan 16,Parx T – “sudden death” (six years old),2023,"(5, 6)",T,“sudden death” (six years old),Parx,2023-01-16,2016.0,,2016.0,Pennsylvania,T,T
Castleberry,Jan 18,"Delta R – “[multiple] comminuted, displaced fractures”",2023,"(6, 7)",R,"“[multiple] comminuted, displaced fractures”",Delta,2023-01-18,2019.0,,2019.0,Louisiana,TQ,T
Russian Cavalier,Jan 19,"Hawthorne T – “bowed tendon, suspensory collapse”",2023,"(10, 11)",T,"“bowed tendon, suspensory collapse”",Hawthorne,2023-01-19,,,2020.0,Illinois,T,T
Pop Pop Susi,Jan 20,"Penn R – “went bad, vanned off, euthanized”",2023,"(5, 6)",R,"“went bad, vanned off, euthanized”",Penn,2023-01-20,2019.0,,2019.0,Pennsylvania,T,T
Press On,Jan 20,"Santa Anita T – “[multiple] fractures, [multiple] ruptures”",2023,"(12, 13)",T,"“[multiple] fractures, [multiple] ruptures”",Santa Anita,2023-01-20,2019.0,,2019.0,California,T,T
Conundrum Queen,Jan 21,"Turfway T – “[multiple] open [through skin], displaced fractures”",2023,"(8, 9)",T,"“[multiple] open [through skin], displaced fractures”",Turfway,2023-01-21,2018.0,,2018.0,Kentucky,T,T
Mexican Wonder Boy,Jan 25,"Delta R – “compound, comminuted, displaced fracture”",2023,"(6, 7)",R,"“compound, comminuted, displaced fracture”",Delta,2023-01-25,2017.0,,2017.0,Louisiana,TQ,T
Feeling Well,Jan 25,Los Alamitos T – “catastrophic scapula fracture with severe hemorrhage”,2023,"(13, 14)",T,“catastrophic scapula fracture with severe hemorrhage”,Los Alamitos,2023-01-25,,,2020.0,California,TQ,T
Warrior's Crown,Jan 25,"Parx T – “injured, euthanized” (two years old)",2023,"(5, 6)",T,"“injured, euthanized” (two years old)",Parx,2023-01-25,,,,Pennsylvania,T,T
Graze Stone,Jan 25,Turf T – “blunt-force trauma…brain hemorrhage”,2023,"(5, 6)",T,“blunt-force trauma…brain hemorrhage”,Turf,2023-01-25,2020.0,,2020.0,Arizona,TQ,T
Garth Road,Jan 27,"Aqueduct R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Aqueduct,2023-01-27,2020.0,,2020.0,New York,T,T
Aerator,Jan 27,"Turfway R – “[multiple] fractures, severe soft tissue damage”",2023,"(8, 9)",R,"“[multiple] fractures, severe soft tissue damage”",Turfway,2023-01-27,2020.0,,2020.0,Kentucky,T,T
Slow Down Summer,Jan 28,"Aqueduct R – “vanned off in distress, euthanized”",2023,"(9, 10)",R,"“vanned off in distress, euthanized”",Aqueduct,2023-01-28,2020.0,,2020.0,New York,T,T
Actuator,Jan 28,Santa Anita T – “sudden death following workout” (three years old),2023,"(12, 13)",T,“sudden death following workout” (three years old),Santa Anita,2023-01-28,2019.0,,2019.0,California,T,T
This Famous Dream,Jan 28,"Turf R – “comminuted fractures, ligament rupture”",2023,"(5, 6)",R,"“comminuted fractures, ligament rupture”",Turf,2023-01-28,,2019.0,,Arizona,TQ,Q
Class Proof,Jan 28,Turf R – “compound fracture…bone protruding”,2023,"(5, 6)",R,“compound fracture…bone protruding”,Turf,2023-01-28,2018.0,,2018.0,Arizona,TQ,T
Natural Sonde,Feb 1,Charles Town T – “multiple fractures”,2023,"(13, 14)",T,“multiple fractures”,Charles Town,2023-02-01,2016.0,,2016.0,West Virginia,T,T
Sick Pack Sara,Feb 1,"Penn T – “injured, euthanized”",2023,"(5, 6)",T,"“injured, euthanized”",Penn,2023-02-01,2018.0,,2018.0,Pennsylvania,T,T
Party Game,Feb 1,"Santa Anita T – “[multiple] open [through skin], comminuted fractures”",2023,"(12, 13)",T,"“[multiple] open [through skin], comminuted fractures”",Santa Anita,2023-02-01,,,,California,T,T
Golden Rachel,Feb 4,"Turf R – “[multiple] spine fractures, cord severed”",2023,"(5, 6)",R,"“[multiple] spine fractures, cord severed”",Turf,2023-02-04,2020.0,,2020.0,Arizona,TQ,T
Haloo,Feb 4,"Turfway T – “contact with rail, significant blood coming from mouth from the trauma”",2023,"(8, 9)",T,"“contact with rail, significant blood coming from mouth from the trauma”",Turfway,2023-02-04,2019.0,,2019.0,Kentucky,T,T
