name,date,notes,year
In My Heart, Jan 1," Los Alamitos R – “[multiple] fractures, [multiple] ruptures”",2023
No Huddle, Jan 1," Sunland R – “fell, spinal cord injury”",2023
Reads Codigo, Jan 1, Sunland R – “sesamoid fracture”,2023
Awesome Charge, Jan 2, Charles Town T – “sesamoid fracture”,2023
Spartak, Jan 3," Parx T – “injured, euthanized” (had been raced 42 times)",2023
Captain Delightful, Jan 4," Meadows S – “illness, [found dead]”",2023
A Little Bit, Jan 4," Parx R – “injured, vanned off, euthanized” (two years old, first race)",2023
Last Gifted Eagle, Jan 5," Turf R – “[multiple] pelvic/vertebral fractures, bone exposed”",2023
El Tigre Terrible, Jan 6, Oaklawn S – “horse found dead at 5 am – heart failure” (five years old),2023
Ma Coco, Jan 6," Tampa Bay R – “pulled up in distress, euthanized”",2023
unidentified, early Jan, Gulfstream S – “sudden death”,2023
Firing Carol, Jan 7," Aqueduct R – “injured, vanned off, euthanized”",2023
Spenny Denny, Jan 7, Charles Town T – “scapula fracture” (being prepped for debut),2023
Tap Union, Jan 7, Golden Gate S – “gastric rupture” (three years old),2023
Bo Derek, Jan 8," Gulfstream R – “went wrong, fell”",2023
Big Future, Jan 8, Los Alamitos T – “catastrophic scapular fracture” (two years old),2023
Alsalam, Jan 9, Los Alamitos T – “musculoskeletal” (two years old),2023
Hard Timer, Jan 10, Parx S – “sudden death” (four years old),2023
Brick Alley, Jan 11, Charles Town S – “heart attack” (two years old),2023
Little O Little E, Jan 11, Charles Town R (euth Mar 21) – “bowed tendon”,2023
Gentlemen's Cry, Jan 11," Oaklawn T – “open, comminuted fracture” (being prepped for debut)",2023
Bloodstockshalltab, Jan 12, Batavia R – “horse took a bad step”,2023
Time to Two Step, Jan 12," Parx T – “injured, euthanized”",2023
Kat's Hitman, Jan 12," Turf R – “[multiple] fractures, tendon tear, hemorrhage”",2023
Cosmic Rewind, Jan 13, Charles Town R – “multiple fractures”,2023
Emma's Dance, Jan 14, Golden Gate S – “found dead early this morning – severe colitis”,2023
Goldbar, Jan 14, Laurel T – “suspected thorax trauma”,2023
Orbert, Jan 16, Parx T – “sudden death” (six years old),2023
Castleberry, Jan 18," Delta R – “[multiple] comminuted, displaced fractures”",2023
Russian Cavalier, Jan 19," Hawthorne T – “bowed tendon, suspensory collapse”",2023
Pop Pop Susi, Jan 20," Penn R – “went bad, vanned off, euthanized”",2023
Press On, Jan 20," Santa Anita T – “[multiple] fractures, [multiple] ruptures”",2023
Conundrum Queen, Jan 21," Turfway T – “[multiple] open [through skin], displaced fractures”",2023
Rail Hugger, Jan 22, Turf S – “horse was found dead in its stall”,2023
Mexican Wonder Boy, Jan 25," Delta R – “compound, comminuted, displaced fracture”",2023
Feeling Well, Jan 25, Los Alamitos T – “catastrophic scapula fracture with severe hemorrhage”,2023
Warrior's Crown, Jan 25," Parx T – “injured, euthanized” (two years old)",2023
Drama Diva, Jan 25, Turf S – “found dead in morning: multisystemic hemorrhage”,2023
Graze Stone, Jan 25, Turf T – “blunt-force trauma…brain hemorrhage”,2023
Garth Road, Jan 27," Aqueduct R – “injured, vanned off, euthanized”",2023
Aerator, Jan 27," Turfway R – “[multiple] fractures, severe soft tissue damage”",2023
Woodmere Skyroller, Jan 27, Yonkers S – “died in stall 18” (five years old),2023
Slow Down Summer, Jan 28," Aqueduct R – “vanned off in distress, euthanized”",2023
Actuator, Jan 28, Santa Anita T – “sudden death following workout” (three years old),2023
This Famous Dream, Jan 28," Turf R – “comminuted fractures, ligament rupture”",2023
Class Proof, Jan 28, Turf R – “compound fracture…bone protruding”,2023
Natural Sonde, Feb 1, Charles Town T – “multiple fractures”,2023
Sick Pack Sara, Feb 1," Penn T – “injured, euthanized”",2023
Party Game, Feb 1," Santa Anita T – “[multiple] open [through skin], comminuted fractures”",2023
Memory Taker, Feb 4," Sunland S – “chronic, progressive colic” (“bled, vanned off” Jan 8)",2023
Golden Rachel, Feb 4," Turf R – “[multiple] spine fractures, cord severed”",2023
Haloo, Feb 4," Turfway T – “contact with rail, significant blood coming from mouth from the trauma”",2023
Hurrikane Mon Ami, Feb 4, Yonkers S – “died in stable area” (was raced two days prior),2023
Bullout, Feb 5, Laurel T – “foot turned in wrong direction: comminuted fracture” (two years old),2023
Master Ruler, Feb 5, Rillito R (euth Feb 12) – “severe pleuropneumonia with abscesses”,2023
Little Rikki, Feb 6, Mahoning T – “rider heard loud noise and horse fell – shoulder [fracture]”,2023
yet-to-be-named 2-year-old, Feb 7, San Luis Rey T – “[multiple] open [through skin] fractures”,2023
Swamp Souffle, Feb 7," Turf S – “lame after race, severe laminitis, coffin bone rotation”",2023
Caerulean, Feb 8, Santa Anita T – “severe exercise-associated pulmonary hemorrhage”,2023
Mizhipzletus, Feb 8," Turf S – “sweating profusely, fever of 102, died several minutes later”",2023
Celtic Cousen, Feb 10, Laurel T – “jockey heard a pop: [multiple] fractures”,2023
The Trend Continue, Feb 10, Turf T – “trauma to head/brain” (three years old),2023
Caramelito, Feb 10," Turfway R – “severe, extensive tearing and rupture of tendon”",2023
Merci Road, Feb 11, Charles Town R – “fell with a fatal injury”,2023
Merit Song, Feb 11, Santa Anita R – “catastrophic fetlock breakdown” (two years old),2023
Decorated My Life, Feb 11, Santa Anita R – “[multiple] fractures and ruptures”,2023
Flying to the Top, Feb 11," Sunland R – “fell, unable to rise”",2023
Mia Casa, Feb 13," Los Alamitos S – “colitis, chronic ulcers, large numbers of tapeworms”",2023
Pappy Wolfe, Feb 13, Oaklawn T – “[multiple] fractures” (two years old),2023
He's a Candy Man, Feb 13, Turf R (euth Feb 20) – “[multiple] fractures”,2023
See What (sic), Feb 14, Sunland T – “complete compound fracture”,2023
Music City Dancer, Feb 15, Mahoning T – “displaced knee fracture during morning work”,2023
Steele Horizon, Feb 16, Sam Houston T – “[multiple] fractures”,2023
Lord Brownie, Feb 17," Belmont S – “progressive worsening of laminitis, euthanized”",2023
Leroy Jenkins, Feb 17, Fair Grounds R – “[multiple] fractures”,2023
My Last Bullet, Feb 17, Sunland R – “compound fractures [both front legs]”,2023
Petit Verdot, Feb 17, Turfway R – “[multiple] comminuted fractures of scapula”,2023
