name,year,fy_pq
In My Heart,2023,
No Huddle,2023,2019.0
Reads Codigo,2023,2020.0
Awesome Charge,2023,2018.0
Spartak,2023,2016.0
Captain Delightful,2023,
A Little Bit,2023,2020.0
Last Gifted Eagle,2023,
El Tigre Terrible,2023,2017.0
Ma Coco,2023,2018.0
unidentified,2023,
Firing Carol,2023,2018.0
Spenny Denny,2023,2019.0
Tap Union,2023,2019.0
Bo Derek,2023,2020.0
Big Future,2023,2020.0
Alsalam,2023,2020.0
Hard Timer,2023,2018.0
Brick Alley,2023,2020.0
Little O Little E,2023,2017.0
Gentlemen's Cry,2023,2020.0
Bloodstockshalltab,2023,
Time to Two Step,2023,2016.0
Kat's Hitman,2023,2017.0
Cosmic Rewind,2023,2020.0
Emma's Dance,2023,2018.0
Goldbar,2023,2019.0
Orbert,2023,2016.0
Castleberry,2023,2019.0
Russian Cavalier,2023,2020.0
Pop Pop Susi,2023,2019.0
Press On,2023,2019.0
Conundrum Queen,2023,2018.0
Rail Hugger,2023,2017.0
Mexican Wonder Boy,2023,2017.0
Feeling Well,2023,2020.0
Warrior's Crown,2023,
Drama Diva,2023,2020.0
Graze Stone,2023,2020.0
Garth Road,2023,2020.0
Aerator,2023,2020.0
Woodmere Skyroller,2023,
Slow Down Summer,2023,2020.0
Actuator,2023,2019.0
This Famous Dream,2023,
Class Proof,2023,2018.0
Natural Sonde,2023,2016.0
Sick Pack Sara,2023,2018.0
Party Game,2023,
Memory Taker,2023,2016.0
Golden Rachel,2023,2020.0
Haloo,2023,2019.0
Hurrikane Mon Ami,2023,
Bullout,2023,2020.0
Master Ruler,2023,2015.0
Little Rikki,2023,2020.0
yet-to-be-named 2-year-old,2023,
Swamp Souffle,2023,2016.0
Caerulean,2023,2017.0
Mizhipzletus,2023,2019.0
Celtic Cousen,2023,2019.0
The Trend Continue,2023,2019.0
Caramelito,2023,2017.0
Merci Road,2023,2018.0
Merit Song,2023,2020.0
Decorated My Life,2023,2020.0
Flying to the Top,2023,
Mia Casa,2023,2018.0
Pappy Wolfe,2023,2020.0
He's a Candy Man,2023,2020.0
See What (sic),2023,
Music City Dancer,2023,2019.0
Steele Horizon,2023,
Lord Brownie,2023,2019.0
Leroy Jenkins,2023,2018.0
My Last Bullet,2023,2020.0
Petit Verdot,2023,2018.0
She's a Black Belt,2023,2016.0
Hunter's Drive,2023,2020.0
A Regal Cowgirl,2023,
Bones and Roses,2023,2017.0
Cash Rocket,2023,2018.0
Jelly Nougat,2023,2019.0
Big Talker,2023,2018.0
Crafty Jack,2023,2015.0
Friendly Fella,2023,2016.0
Big Laugh,2023,2021.0
Motown Supreme,2023,2020.0
Teche Solution,2023,2020.0
Auspicious Lad,2023,2019.0
Spinish,2023,2018.0
King Tuff,2023,2019.0
Spy Valley,2023,
Cinnamack,2023,
Black Sambuca,2023,
Amman,2023,2020.0
Iron Soul,2023,
Juana Gallo,2023,2020.0
Rap Star,2023,2019.0
Sporty Sense (sic),2023,
Mucho,2023,2016.0
Afternoon Anejo,2023,2019.0
Mystical Image,2023,2014.0
Starzan,2023,2017.0
Miss Taken,2023,2020.0
Bear Claw,2023,2019.0
Ultimate Diva,2023,2020.0
Mp Flyingwrightbayou,2023,
All the Best,2023,2016.0
Turfy,2023,2018.0
Esser Fund,2023,2020.0
Utterly Courageous,2023,2018.0
Whenudon't Know,2023,
Heza Valentine,2023,2019.0
Charlee's Magic,2023,2015.0
Ransier,2023,2017.0
Lethal Pass,2023,
One Dashing Gallito,2023,
Funwhileitlasted,2023,2018.0
Lady Demaree,2023,2019.0
Joy Enamorada,2023,2019.0
Sir Rex,2023,2019.0
Moro Dandy,2023,2019.0
Peaceful Street,2023,2019.0
Dreamboat,2023,2020.0
Uncle Buff,2023,2019.0
Cailin Diana,2023,2019.0
Brentford,2023,2020.0
Miss Glorious,2023,2018.0
Em's Winaholic,2023,2018.0
Bank On Shea,2023,2017.0
Shy Bella,2023,2019.0
Tap's Lullaby,2023,2017.0
Bp Certified Wagon,2023,
Boat Over the Hill,2023,2017.0
Fort Defiance,2023,2019.0
Chef Menteur,2023,2019.0
Lady Macho,2023,2016.0
De Train,2023,
Strikewhileurhot,2023,2020.0
Beverly Vista,2023,2020.0
Fyne N Dyne,2023,
Texas Red Pepper,2023,2018.0
Akuna Matata,2023,2016.0
Manuka Bobby,2023,2018.0
Trophy Chaser,2023,2016.0
El Rafa Q,2023,2020.0
Notario,2023,2020.0
Xposed Secret,2023,2020.0
Relenteless Grace,2023,
Forth,2023,2018.0
Saltwater Gypsy,2023,2020.0
Stand Up Comic,2023,2019.0
Vezpa,2023,
Amongst Friends,2023,2018.0
Cumulus,2023,2020.0
Older Brother,2023,2015.0
Cut the Check,2023,2020.0
Hexotique,2023,2020.0
Baytown Apollo,2023,2021.0
Nicos Clave 7,2023,
Zinny Mach N,2023,
Wudda U Think Now,2023,2017.0
Hair of the Dog,2023,2017.0
Haveulostyourmind,2023,2017.0
Bee Bop It,2023,2020.0
Meetmeinkingston,2023,2018.0
Hello Jamrock,2023,2019.0
Autism Ability,2023,2018.0
Frenchboro,2023,2018.0
W F Iron Maiden,2023,2020.0
Cable Channel,2023,2016.0
Corky's Cause,2023,2019.0
Crb Bella,2023,
Hesa Charmer,2023,
Another Wine,2023,2019.0
Waites Kingdom,2023,2019.0
Friend,2023,2019.0
Midnight Vow,2023,2020.0
Fancy Liquor,2023,2017.0
Maajaackkobe,2023,
Practical Julia,2023,2019.0
Montana'sbigsunset,2023,2018.0
Lexcellent,2023,2020.0
Levity,2023,2019.0
We Call Him Clyde,2023,2020.0
Notion Street,2023,2020.0
Gaslight,2023,2018.0
Will Take Control,2023,2018.0
Explain,2023,2018.0
Blue Paynt,2023,2018.0
Thousand Island,2023,2020.0
Bali's Back,2023,2020.0
Goin to the Show,2023,2019.0
Semi Charmed Life,2023,2018.0
Twinkling Irish,2023,2020.0
Kiss Me D Oro,2023,2018.0
Jlc Hey Good Lookin,2023,
Singing the Oldies,2023,2020.0
Major Attraction,2023,2016.0
Jammin Jimtown,2023,2016.0
Witty Banter,2023,2016.0
Master of the Ring,2023,2018.0
Rileys Dude,2023,2018.0
Golden Pegasus,2023,2019.0
Bigmancan,2023,2017.0
Mia Testarossa,2023,
Shower Time,2023,2020.0
Strong Silent,2023,2018.0
Lionessofbrittany,2023,2018.0
Wolfe County,2023,2019.0
Unkoalafied,2023,2019.0
Wild On Ice,2023,2020.0
Edge of Night,2023,2017.0
Perceived,2023,2016.0
Code of Kings,2023,2020.0
Parents Pride,2023,2019.0
Mister Tsunami,2023,
Pretty Gita,2023,2016.0
Speed Alert,2023,2016.0
Crazy Dreams,2023,2019.0
American Boy N,2023,
First Empress,2023,2017.0
Flash of Mischief,2023,2018.0
Mamzooj,2023,2019.0
Take Charge Briana,2023,2020.0
Chasing Artie,2023,2018.0
Kadens Courage,2023,2016.0
Blue Agave,2023,2020.0
Nightmare Moon,2023,2020.0
Flyin Jewel,2023,
Freudian Fate,2023,2016.0
Sunshine Linda,2023,2019.0
An Agent Mistake,2023,2019.0
Big Valentina,2023,2020.0
Chloe's Dream,2023,2020.0
Freezing Point,2023,2020.0
Tapwood,2023,2018.0
Fire and Spice,2023,2020.0
Mon Paradis,2023,2018.0
Beav's Boo,2023,2017.0
Rocket's Castle,2023,2018.0
Singsong Bird,2023,2016.0
Charm City Band,2023,2017.0
Reed Kan,2023,2015.0
Bosque Redondo,2023,2019.0
Magic Knight,2023,
Make Sure Its Cold,2023,
Rio Moon,2023,2020.0
Gatto Marrone,2023,2017.0
Smile for Glory,2023,2019.0
Major General,2023,2019.0
Distractandattack,2023,2018.0
Good Culture,2023,2018.0
Swanson Lake,2023,2020.0
Havnameltdown,2023,2020.0
Magic Lemons,2023,2018.0
Carolina Mia,2023,2017.0
