SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,1,B,F,AUDIBLE,YANKEE VICTORIA,YANKEE VICTOR,JAMES LAYDEN AGENT,NOT SOLD,47000,,01/22/2021,KENTUCKY,C,,,,10.2,https://www.youtube.com/watch?v=rwTUJ54EgL4
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,2,B,C,TIZNOW,ZEHOORR,STORM CAT,CESAR LOYA TRAINING & SALES AGENT,OUT,0,,03/10/2021,FLORIDA,B,,,,G,https://www.youtube.com/watch?v=rTvn6P9f9lc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,3,DKB,F,BOLT D'ORO,ALETTE,LEMON DROP KID,KINGS EQUINE AGENT,TEDESCO RACING LLC,27000,,02/05/2021,NEW YORK,J,,,,10.2,https://www.youtube.com/watch?v=N1wCcnQ2Sm8
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,4,DKB,C,NOT THIS TIME,ARCH SUPPORT,ARCH,TOM MCCROCKLIN AGENT,MICHAEL SCHEFFRES,5000,,06/03/2021,FLORIDA,I,,,,11.1,https://www.youtube.com/watch?v=DIfdQ6w4Pwc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,5,B,F,GOOD SAMARITAN,ARGUABLY,SKY MESA,WES CARTER AGENT FOR FORTUNE FARM,RICHARD HOFFBERGER,20000,,04/09/2021,NEW YORK,J&K,,,,10.2,https://www.youtube.com/watch?v=Ch-CKBHjL1Y
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,6,B,G,FLINTSHIRE (GB),ARTILLERY PUNCH,KITTEN'S JOY,WES CARTER AGENT FOR CROSSED SABRES FARM,KIRKWOOD EQUINE ADVISORY,35000,,02/23/2021,NEW YORK,J&K,,,,11,https://www.youtube.com/watch?v=gq3rORVtGuE
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,7,GRR,G,MICROMANAGE,AUTUMN ASH,TAPIT,WES CARTER AGENT FOR CROSSED SABRES FARM,GAGLIANO STABLES,7000,,03/12/2021,NEW YORK,J&K,,,,11,https://www.youtube.com/watch?v=vQPcxIz92Uw
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,8,B,F,CLOUD COMPUTING,BEAR'S TRUE GAL,YES IT'S TRUE,JAMES LAYDEN AGENT,MATT KWIATKOWSKI,35000,,05/10/2021,INDIANA,C,,,,10.3,https://www.youtube.com/watch?v=qfnl66SYzn4
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,9,GRR,F,ARROGATE,BEER BARONESS,MR. GREELEY,TOM MCCROCKLIN AGENT,JOHN GUARNERE,150000,,02/09/2021,KENTUCKY,I,,,,10.3,https://www.youtube.com/watch?v=RMUvHgS7ErE
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,10,CH,F,HOPPERTUNITY,BESO DEL SUR,DIXIELAND BAND,CRANE THOROUGHBRED SERVICES LLC AGENT,NOT SOLD,16000,,04/29/2021,MARYLAND,A,,,https://youtu.be/mxqmbflQtDw,10.2,https://www.youtube.com/watch?v=1yZKC40z9fU
