SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,1,B,F,AUDIBLE,YANKEE VICTORIA,YANKEE VICTOR,JAMES LAYDEN AGENT,NOT SOLD,47000,,01/22/2021,KENTUCKY,D,,,https://vimeo.com/827672305,10.3,https://www.youtube.com/watch?v=9b_KZwRIyXA
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,2,B,C,THE FACTOR,YOU BETCHA BABE,YES IT'S TRUE,CRANE THOROUGHBRED SERVICES LLC AGENT,TWO PALS RACING,100000,,04/11/2021,PENNSYLVANIA,K&L,,,https://vimeo.com/828469325?share=copy,G,https://www.youtube.com/watch?v=KOnT9Rehe6U
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,3,B,C,AUDIBLE,YOU LAUGHIN,SHARP HUMOR,SBM TRAINING AND SALES AGENT,OUT,0,,03/08/2021,LOUISIANA,K&L,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,4,B,C,CENTRAL BANKER,YOUMAKEMEBLUSH,VIOLENCE,HIDDEN BROOK AGENT VII,OUT,0,,04/12/2021,NEW YORK,K,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,5,CH,C,COMPETITIVE EDGE,A BIT OF PRESSURE,HIGH YIELD,PAUL SHARP AGENT XII,S.R.O.A. (K.O.I.D.),40000,,05/08/2021,KENTUCKY,J&K,,,https://vimeo.com/825787140?share=copy,11,https://www.youtube.com/watch?v=3F_9ax2jOEA
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,6,DKB,C,GIRVIN,ABSOULUTE HEAVEN,NOT FOR LOVE,TOM MCCROCKLIN AGENT XVII,JULIA CAREY,40000,,04/01/2021,FLORIDA,D&E,,,https://vimeo.com/827937548?share=copy,10.3,https://www.youtube.com/watch?v=YA_tZpRqZxI
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,7,B,C,TAPITURE,ABUNDANCEOFCAUTION,KITTEN'S JOY,COASTAL EQUINE LLC (JESSE HOPPEL) AGENT,MICHAEL V PINO,50000,,01/19/2021,KENTUCKY,B&C,,,https://vimeo.com/828194288,10.3,https://www.youtube.com/watch?v=MnjRtlPb3CA
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,8,CH,C,FREE DROP BILLY,ACCELEBRATE,NORTHERN AFLEET,PAUL SHARP AGENT I,TEN STRIKE RACING,15000,,02/15/2021,NEW YORK,J&K,,,https://vimeo.com/825787230?share=copy,11,https://www.youtube.com/watch?v=9P1ARNwja50
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,9,GRR,C,CREATIVE CAUSE,ACENDA,LATENT HEAT,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT III,HAMMER TIME STABLE LLC,250000,,04/15/2021,KENTUCKY,T,,,https://vimeo.com/825299439?share=copy,10.2,https://www.youtube.com/watch?v=5ykXlQa-w74
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,10,B,C,GOLDENCENTS,ADIRA,QUALITY ROAD,GRASSROOTS TRAINING AND SALES LLC,ROBERT REIDY,8000,Y,04/04/2021,NEW YORK,I,,,,11,https://www.youtube.com/watch?v=dIRpD7zNAqU
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,11,B,F,AUDIBLE,AFLEET HONEY,UNCLE MO,DE MERIC SALES AGENT,MARK GLATT AGENT,100000,Y,04/21/2021,KENTUCKY,J,,,https://vimeo.com/827845144?share=copy,10.3,https://www.youtube.com/watch?v=RpzFqFDe16Q
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,12,DKB,C,CONSTITUTION,AKRIS QUEEN,ARCH,TOP LINE SALES LLC AGENT XXI,MARCELLO ROSA,13000,,05/07/2021,NEW YORK,E&F,,,https://vimeo.com/827830803,11,https://www.youtube.com/watch?v=twGIJi4Y3uw
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,13,DKB,F,BOLT D'ORO,ALETTE,LEMON DROP KID,KINGS EQUINE AGENT,NOT SOLD,75000,,02/05/2021,NEW YORK,T,,,,10.3,https://www.youtube.com/watch?v=iOQf3T_7nK8
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,14,CH,C,MORE THAN READY,ALHUCEMA,ALDEBARAN,JULIE DAVIES LLC AGENT,NOT SOLD,37000,,02/15/2021,KENTUCKY,C&D,,,https://vimeo.com/827110369,11,https://www.youtube.com/watch?v=WJ_Ls7N2bog
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,15,B,C,FLAMEAWAY,ALLEZ JETE,PETIONVILLE,LG AGENT,STEVE MOGER,80000,Y,03/01/2021,KENTUCKY,A,,,,21.3,https://www.youtube.com/watch?v=d0Ro1Mxv6To
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,16,B,C,UNCLE MO,ALOTTA SKIRT,CANDY RIDE (ARG),WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT I,RANDY PATTERSON,75000,,04/24/2021,KENTUCKY,T,,,https://vimeo.com/823588523?share=copy,10.3,https://www.youtube.com/watch?v=1PVQxlTo9X0
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,17,B,F,SKY MESA,AMADEUS MELODY (GB),AMADEUS WOLF (GB),KINGS EQUINE AGENT,ARROYO BLOODSTOCK AGENT FOR ROY LINDSAY,33000,,04/18/2021,KENTUCKY,T,,,,10.3,https://www.youtube.com/watch?v=8mnYhFJ_dNs
