SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2018),2018-05-21,1,GRR,C,OLD FASHIONED,ULTRA TECH,MARIA'S MON,PARRISH FARMS AGENT,DON OGDEN,32000,Y,2016-02-29,MARYLAND,L,,,,22.1,https://www.youtube.com/watch?v=hNziiIfsukk
Midlantic Two-Year-Olds in Training (2018),2018-05-21,2,CH,C,STRONG MANDATE,UNBRIDLED MAGIC,GIANT'S CAUSEWAY,RICHARDSON BLOODSTOCK AGENT,BROOKE HUBBARD AGENT FOR SAYJAY,100000,,2016-04-14,KENTUCKY,J,,,,10.4,https://www.youtube.com/watch?v=_nJ7yoqCVZE
Midlantic Two-Year-Olds in Training (2018),2018-05-21,3,B,F,SUPER SAVER,UNFORGOTTEN,NORTHERN AFLEET,WOODFORD THOROUGHBREDS,GARY CONTESSA AGENT,90000,,2016-03-24,KENTUCKY,C,,,,10.2,https://www.youtube.com/watch?v=1CFd_Ssv5Gk
Midlantic Two-Year-Olds in Training (2018),2018-05-21,4,DKB,C,FLATTER,UNHEDGED,BROKEN VOW,MCKATHAN BROS. AGENT,STEVEN W YOUNG AGENT,150000,Y,2016-04-06,FLORIDA,J-K,,,,10.1,https://www.youtube.com/watch?v=9zrLx_-WPZ0
Midlantic Two-Year-Olds in Training (2018),2018-05-21,5,DKB,F,TIZNOW,UPPER EAST SIDER,FOREST WILDCAT,TOM MCCROCKLIN AGENT,BIG LICK FARM,110000,,2016-03-07,KENTUCKY,T,,,,22.2,https://www.youtube.com/watch?v=9tCzWF2yhN0
Midlantic Two-Year-Olds in Training (2018),2018-05-21,6,B,C,BIG BROWN,VALID PROPOSAL,PRIZED,CRANE THOROUGHBRED SERVICES LLC AGENT,LONE STAR RACING CLUB,28000,,2016-05-06,NEW YORK,D-E,,,,10.3,https://www.youtube.com/watch?v=2v-xiMgeD08
Midlantic Two-Year-Olds in Training (2018),2018-05-21,7,B,F,OVERANALYZE,VALID TOUCHE,STEPHEN GOT EVEN,CRUPI'S NEW CASTLE FARM AGENT,NOT SOLD,49000,,2016-02-17,PENNSYLVANIA,I,,,,10.4,https://www.youtube.com/watch?v=phLsZ8Urqzk
Midlantic Two-Year-Olds in Training (2018),2018-05-21,8,GRR,F,ANIMAL KINGDOM,VESPER LYND,HENNY HUGHES,SBM TRAINING & SALES AGENT,TRIN-BROOK STABLE,9000,,2016-03-09,KENTUCKY,K,,,,11,https://www.youtube.com/watch?v=gR0yN-2J0IU
Midlantic Two-Year-Olds in Training (2018),2018-05-21,9,CH,F,FIRST DUDE,VIA REGINA,ENGLISH CHANNEL,ALL DREAMS EQUINE AGENT,RON ELLIS,35000,,2016-01-06,FLORIDA,G-H,,,,10.4,https://www.youtube.com/watch?v=JSkk8Gfw78U
Midlantic Two-Year-Olds in Training (2018),2018-05-21,10,CH,F,CONGRATS,VICTORIAVANQUISHER,WITH DISTINCTION,NIALL BRENNAN STABLES AGENT,TOKYO OWNERS CLUB INC.,80000,,2016-02-29,FLORIDA,J,,,,10.3,https://www.youtube.com/watch?v=tH7q-Gt2Gas
Midlantic Two-Year-Olds in Training (2018),2018-05-21,11,CH,F,GEMOLOGIST,VINDICATED ANGEL,VINDICATION,RICHARDSON BLOODSTOCK AGENT,OUT,0,,2016-02-25,KENTUCKY,J,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,12,DKB,C,TIZNOW,VOODOO TALES,TALE OF THE CAT,PAUL SHARP AGENT XV,PHILIP DICOSMO,17000,,2016-03-15,KENTUCKY,F-G,,,,10.4,https://www.youtube.com/watch?v=xGeI0FGVh3E
Midlantic Two-Year-Olds in Training (2018),2018-05-21,13,B,C,INTO MISCHIEF,VOUSSOIR,ARCH,HIDDEN BROOK AGENT III,NOT SOLD,220000,,2016-02-20,KENTUCKY,K,,,,10.2,https://www.youtube.com/watch?v=zGUpdxD7jzc
Midlantic Two-Year-Olds in Training (2018),2018-05-21,14,B,F,MUCHO MACHO MAN,WABANAKI,INDIAN CHARLIE,TOP LINE SALES LLC AGENT VI,BRUCE LEVINE,22000,,2016-03-24,NEW YORK,K,,,,11.1,https://www.youtube.com/watch?v=1ygNXBq9FmQ
Midlantic Two-Year-Olds in Training (2018),2018-05-21,15,CH,C,BUSTIN STONES,WALLINGFORD,CAT THIEF,CRUPI'S NEW CASTLE FARM AGENT,OUT,0,,2016-03-21,NEW YORK,I,,,,11.2,https://www.youtube.com/watch?v=VW3-Cn8UNNw
Midlantic Two-Year-Olds in Training (2018),2018-05-21,16,CH,C,ANIMAL KINGDOM,WALLSTREETMADNESS,RAHY,NIALL BRENNAN STABLES AGENT,HEROLD WHYLIE,12000,,2016-04-05,KENTUCKY,J,,,,11,https://www.youtube.com/watch?v=uQa7fa_pDF8
Midlantic Two-Year-Olds in Training (2018),2018-05-21,17,DKB,F,SHAKIN IT UP,WANDERING MOON,MALIBU MOON,SBM TRAINING & SALES AGENT,OUT,0,,2016-02-25,OHIO,K,,,,11.3,https://www.youtube.com/watch?v=RgkddJ_FixU
Midlantic Two-Year-Olds in Training (2018),2018-05-21,18,CH,F,JIMMY CREED,WATCH THIS SPACE,POINT GIVEN,ROD MCVEY,ROHAN RAMDAT,33000,,2016-04-11,KENTUCKY,I,,,,11,https://www.youtube.com/watch?v=lG1RiF3dENk
Midlantic Two-Year-Olds in Training (2018),2018-05-21,19,B,F,INCLUDE,WEEKEND CONNECTION,PULPIT,EDDIE WOODS AGENT FOR DAYBREAK STABLES INC,DAVID MEAH AGENT,165000,,2016-02-03,KENTUCKY,J-K,,,,22,https://www.youtube.com/watch?v=OHji4Lml0_E
