SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2019),2019-05-20,1,B,,C,CAN THE MAN,ABERFORTH,ONE WAY LOVE,KIRKWOOD STABLES AGENT X,NOT SOLD,27000,,04/05/2017,KENTUCKY,C,,,,10.4,https://www.youtube.com/watch?v=3bwMLd2gjbY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,2,CH,,F,DAREDEVIL,A CUT AHEAD,TIZ WONDERFUL,JULIE DAVIES LLC AGENT,OUT,0,,04/02/2017,NEW YORK,C-D,,,,10.3,https://www.youtube.com/watch?v=QO7PP7t7I1I
Midlantic Two-Year-Olds in Training (2019),2019-05-20,3,DKB,,F,STREET SENSE,ADANDE,BWANA CHARLIE,CARY FROMMER LLC AGENT,KENNY COX AGENT FOR DALE LONG,80000,Y,02/18/2017,KENTUCKY,A-B,,,,10.4,https://www.youtube.com/watch?v=XL6LXHYTQCc
Midlantic Two-Year-Olds in Training (2019),2019-05-20,4,B,BELLS OF WAR,F,DECLARATION OF WAR,ADORABELL,DISTORTED HUMOR,PIKE RACING AGENT,TODD MOSTOLLER,70000,,05/13/2017,KENTUCKY,G,,,,10.2,https://www.youtube.com/watch?v=wPO4eoNogUY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,5,CH,,F,MORE THAN READY,AGAIN,UNBRIDLED'S SONG,DE MERIC SALES AGENT,NOT SOLD,90000,,02/02/2017,KENTUCKY,I-J,,,,10.2,https://www.youtube.com/watch?v=m-poYAOzRrg
Midlantic Two-Year-Olds in Training (2019),2019-05-20,6,B,,F,MR SPEAKER,AGENT ROMANOFF,EMPIRE MAKER,ROBERT BREWER,NOT SOLD,100000,,03/19/2017,KENTUCKY,B,,,,10.3,https://www.youtube.com/watch?v=L6HbwYJqUk4
Midlantic Two-Year-Olds in Training (2019),2019-05-20,7,GRR,,F,BERNARDINI,AGUILERA,UNBRIDLED'S SONG,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,02/10/2017,KENTUCKY,A,,,,10.2,https://www.youtube.com/watch?v=XmdQPbEUyUY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,8,DKB,,F,MACLEAN'S MUSIC,AIN'T SHE AWESOME,AWESOME AGAIN,SCANLON TRAINING & SALES AGENT VI,DONNIE K VON HEMEL AGENT FOR NORMA LEE STOCKSETH,47000,,04/13/2017,KENTUCKY,T,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yos-2019-hip-8,10.4,https://www.youtube.com/watch?v=TR5yyAogvIY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,9,CH,,C,MAJESTIC CITY,AIR MAIL,GULCH,DE MERIC SALES AGENT,OUT,0,,02/02/2017,NEW YORK,I-J,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,10,DKB,,F,OXBOW,ALEXANDRIA WA,BLUEGRASS CAT,HIDDEN BROOK AGENT XI,JUAN CARLOS PEREZ HERNANDEZ,30000,,04/24/2017,PENNSYLVANIA,K,,,,11,https://www.youtube.com/watch?v=g5rFMVCmk7A
Midlantic Two-Year-Olds in Training (2019),2019-05-20,11,CH,,C,UNION RAGS,ALITTLEBITEARLY,THUNDER GULCH,EDDIE WOODS AGENT LXXII,TRACY MAKIN,35000,,04/19/2017,KENTUCKY,J-K,,,,11,https://www.youtube.com/watch?v=wSyHbyuq3IY
Midlantic Two-Year-Olds in Training (2019),2019-05-20,12,B,,F,HONOR CODE,ALL METTLE,TOUCH GOLD,EDDIE WOODS AGENT XXXIV,OUT,0,,03/10/2017,KENTUCKY,J-K,,,,,
Midlantic Two-Year-Olds in Training (2019),2019-05-20,13,DKB,,F,WICKED STRONG,ALL TALK,TALE OF THE CAT,CLASSIC BLOODSTOCK AGENT V,RANDI PERSAUD,32000,,03/06/2017,NEW YORK,I,,,,11.2,https://www.youtube.com/watch?v=Uu-FZIJqnHU
