SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,1,B,F,WARRIOR'S REWARD,AGAPANTHUS,THEATRICAL (IRE),CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,NOT SOLD,57000,,04/04/2017,KENTUCKY,C&D,,,,11,https://www.youtube.com/watch?v=MDDNUgkxjT0
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,2,B,F,HAMPTON COURT (AUS),ALERT IN CLASS,HENNY HUGHES,TOM MCCROCKLIN AGENT,TOM BELL,11000,,02/25/2017,KENTUCKY,D,,,,11.3,https://www.youtube.com/watch?v=LcDBry1A4mU
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,3,B,C,MR SPEAKER,AMERICA'S FRIEND,UNUSUAL HEAT,KINGS EQUINE AGENT,NOT SOLD,120000,,04/11/2017,KENTUCKY,C,,,,G,https://www.youtube.com/watch?v=RmVjstX2MtY
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,4,B,F,RUN AWAY AND HIDE,ANGELS IN ARMS,SAINT LIAM,TOM MCCROCKLIN AGENT,OUT,0,,05/06/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,5,B,F,GEMOLOGIST,ANNA MIA,UNBRIDLED'S SONG,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,CLARKE COOPER,40000,,03/11/2017,KENTUCKY,C&D,,,,10.3,https://www.youtube.com/watch?v=LP7mj9q5JWk
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,6,B,F,UNION RAGS,ANNIHILATION,NORTHERN AFLEET,TOM MCCROCKLIN AGENT,OUT,0,,02/26/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,7,B,F,HARD SPUN,ANN OF THE DANCE,ENGLISH CHANNEL,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT FOR BLUE CHIP THOROUGHBREDS,THOMSEN RACING LLC,1000,,02/24/2017,KENTUCKY,C&D,,,,11.2,https://www.youtube.com/watch?v=kzARll7DDxI
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,8,B,C,BAYERN,ARGENTESQUE,SILVER DEPUTY,KINGS EQUINE AGENT,OUT,0,,05/05/2017,MARYLAND,C,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,9,CH,C,CLUBHOUSE RIDE,ASPEN GAL,TALKIN MAN,MCCARTHY BLOODSTOCK AGENT,LARRY LEWIS,55000,,02/09/2017,CALIFORNIA,C&D,,,,22.3,https://www.youtube.com/watch?v=5SUklf5G2RY
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,10,GRR,C,MIZZEN MAST,ATLANTIC TAP,STORMY ATLANTIC,LOVACRES RANCH AGENT,NOT SOLD,14000,,02/15/2017,CALIFORNIA,A,,,,24.4,https://www.youtube.com/watch?v=Ny5pGb2V3qg
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,11,CH,F,RAISON D'ETAT,ATTRACTIVE (IRE),SADLER'S WELLS,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VIII,NOT SOLD,9000,,02/19/2017,KENTUCKY,A&B,,,,G,https://www.youtube.com/watch?v=0m2q3D_I5us
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,12,CH,C,TAPITURE,AWESOMEKAYLEE,AWESOME AGAIN,TOM MCCROCKLIN AGENT,PHOENIX THOROUGHBRED (III) LTD,350000,,03/31/2017,KENTUCKY,D,,,,21.1,https://www.youtube.com/watch?v=JWPH-q4StN0
