SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,1,DKB,C,STANFORD,MAIN STREET,STREET CRY (IRE),HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,5/10/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,2,CH,F,LORD NELSON,MALIBU PIER,MALIBU MOON,KINGS EQUINE AGENT,ECLIPSE THOROUGHBRED PARTNERS,80000,Y,2/7/19,KENTUCKY,,,https://vimeo.com/558719835,10.3,https://www.youtube.com/watch?v=WUwPnsJUGeQ
Santa Anita Two-Year-Olds in Training (2021),6/23/21,3,DKB,C,DECLARATION OF WAR,MARALAGO,THUNDER GULCH,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,3/12/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,4,B,C,DOMINUS,MATINEE EXPRESS,ZENSATIONAL,HAVENS BLOODSTOCK AGENCY INC. AGENT,NOT SOLD,19000,,3/21/19,NEW YORK,,,,11.1,https://www.youtube.com/watch?v=vVzcsI7mGH4
Santa Anita Two-Year-Olds in Training (2021),6/23/21,5,DKB,C,CURLIN TO MISCHIEF,MAZEL DANCER,MAZEL TRICK,HAVENS BLOODSTOCK AGENCY INC. AGENT,NOT SOLD,29000,,2/7/19,CALIFORNIA,,,,11.1,https://www.youtube.com/watch?v=paJSwuPgTdA
Santa Anita Two-Year-Olds in Training (2021),6/23/21,6,DKB,F,UNIFIED,MILES RULES,TRIBAL RULE,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,3/9/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,7,B,F,CLASSIC EMPIRE,MISCHIEVOUS MISTY,INTO MISCHIEF,PIKE RACING AGENT,PETER MILLER AGENT,35000,,2/12/19,KENTUCKY,,,,10.4,https://www.youtube.com/watch?v=FY-9G-iCQx4
Santa Anita Two-Year-Olds in Training (2021),6/23/21,8,DKB,F,EXAGGERATOR,MONARCHY,EMPIRE MAKER,HAVENS BLOODSTOCK AGENCY INC. AGENT,VALLE LAS PALMAS,8000,,3/13/19,KENTUCKY,,,,11.2,https://www.youtube.com/watch?v=TvezIkmmswE
Santa Anita Two-Year-Olds in Training (2021),6/23/21,9,CH,F,NYQUIST,MOON MUSIC,MALIBU MOON,HARTLEY/DE RENZO THOROUGHBREDS AGENT,ANDREW T ANDREWS,140000,,4/12/19,ONTARIO,,,,22.3,https://www.youtube.com/watch?v=CoM6gEvIQMs
Santa Anita Two-Year-Olds in Training (2021),6/23/21,10,DKB,F,CARPE DIEM,MORE RESPECT,MORE THAN READY,KINGS EQUINE AGENT,OUT,0,,5/15/19,KENTUCKY,,,https://vimeo.com/558719872,10.3,https://www.youtube.com/watch?v=gF7zBgzrBso
Santa Anita Two-Year-Olds in Training (2021),6/23/21,11,CH,C,SQUARE EDDIE,MO STYLE,UNCLE MO,MCCARTHY BLOODSTOCK AGENT,JEFF BONDE,18000,,3/9/19,CALIFORNIA,,,,G,https://www.youtube.com/watch?v=yClUJEKrICg
Santa Anita Two-Year-Olds in Training (2021),6/23/21,12,B,F,MEDAGLIA D'ORO,MOTOWN LADY,UNCLE MO,KINGS EQUINE AGENT,THETA HOLDING I INC.,55000,,3/2/19,KENTUCKY,,,https://vimeo.com/558719908,11,https://www.youtube.com/watch?v=q9bXof2WEN8
