SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2020),,1,DKB,,C,TWIRLING CANDY,HEART UNION,DIXIE UNION,RANDY MILES AGENT II,,,,02/12/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,2,GRR,,F,EXAGGERATOR,HIGHER WORLD,PEAKS AND VALLEYS,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,02/17/2018,ONTARIO,,,,
The Gulfstream Sale (2020),,3,B,,C,DECLARATION OF WAR,HIGH MAINTENANCE (GB),DANEHILL,CARY FROMMER AGENT,,,,03/15/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,4,DKB,,F,EXAGGERATOR,HOLIDAY SHOPPING,HARLAN'S HOLIDAY,TOM MCCROCKLIN AGENT I,,,,02/14/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,5,GRR,,C,SPEIGHTSTER,HOLY DAZZLE,HOLY BULL,RANDY BRADSHAW AGENT II,,,,03/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,6,CH,,C,UNION RAGS,HOME COURT,STORM CAT,EDDIE WOODS AGENT LXVI,,,,03/23/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,10,DKB,LOOKIN FOR TROUBLE,C,INTO MISCHIEF,IN SPITE OF MAMA,SPEIGHTSTOWN,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT VI,,,,02/06/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,11,DKB,,C,MEDAGLIA D'ORO,INVENTIVE,DIXIE UNION,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,,,,02/12/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,12,B,,F,MALIBU MOON,IROQUOIS GIRL,INDIAN CHARLIE,EDDIE WOODS AGENT XXXVI,,,,02/01/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,13,B,,C,TAPIT,JACKPOT JOANIE,GIANT'S CAUSEWAY,KIRKWOOD STABLES AGENT IV,,,,04/03/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,14,B,,C,STREET SENSE,JAN'S PERFECT STAR,IMPERIALISM,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,05/17/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,15,CH,,F,AMERICAN PHAROAH,JEWELIANA,SMART STRIKE,HARTLEY/DE RENZO THOROUGHBREDS AGENT,,,,04/21/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,16,CH,,F,NYQUIST,KETEL TWIST,DIXIE UNION,EDDIE WOODS AGENT LXIX,,,,04/11/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),2020-04-01,17,B,,C,UNION RAGS,KIOWA,STEPHEN GOT EVEN,CARY FROMMER AGENT,,,,04/22/2018,VIRGINIA,,,,
The Gulfstream Sale (2020),,18,GRR,,F,FROSTED,KISS THE LADY,QUIET AMERICAN,TOP LINE SALES LLC AGENT II,,,,04/06/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,19,CH,,C,KANTHAROS,KOMBAT LAKE,MEADOWLAKE,DE MERIC SALES AGENT,,,,03/12/2018,ARKANSAS,,,,
The Gulfstream Sale (2020),,20,DKB,,F,INTO MISCHIEF,LADY KIERKEGAARD,ARCH,RANDY MILES AGENT I,,,,03/26/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,21,CH,,F,AMERICAN PHAROAH,LADY ZIEG,TOUCH GOLD,TOP LINE SALES LLC AGENT V,,,,02/19/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,22,B,,F,CINCO CHARLIE,LANTERN,MINESHAFT,CARY FROMMER AGENT,,,,02/14/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,23,CH,,C,CARPE DIEM,LEMON LASHES,LEMON DROP KID,BRICK CITY THOROUGHBREDS AGENT,,,,03/04/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,24,B,,C,CANDY RIDE (ARG),LETGOMYECHO,MENIFEE,HOBY & LAYNA KIGHT AGENT,,,,02/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,25,B,,C,BLAME,LITTLE SANDY,SPEIGHTSTOWN,CRANE THOROUGHBRED SERVICES AGENT,,,,03/29/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,26,B,,C,QUALITY ROAD,LOVEOFALIFETIME,MEDAGLIA D'ORO,DE MERIC SALES AGENT,,,,04/10/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,27,DKB,,C,CALIFORNIA CHROME,SKY GLOW,GRAND SLAM,PAUL SHARP AGENT I,,,,03/23/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,28,GRR,,C,LIAM'S MAP,MAJESTIC MARQUET,PROUD ACCOLADE,RANDY BRADSHAW AGENT I,,,,02/23/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,29,CH,,F,BRODY'S CAUSE,MALIBU COVE,MALIBU MOON,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,02/10/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,30,B,,F,UNION RAGS,MAYBELLENE,LOOKIN AT LUCKY,BOBBY DODD AGENT,,,,01/24/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,31,CH,,C,AMERICAN PHAROAH,MEGA DREAM,MEDAGLIA D'ORO,HOBY & LAYNA KIGHT AGENT,,,,03/17/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,32,CH,,F,CONGRATS,MINESTRONE,FORESTRY,NIALL BRENNAN STABLES AGENT VII,,,,02/14/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,33,B,,C,INTO MISCHIEF,MISS ARRANGEMENT,MR. GREELEY,TOP LINE SALES LLC AGENT I,,,,03/15/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,34,CH,,F,TAPIT,MISS SUPER QUICK,ROCK HARD TEN,SBM TRAINING & SALES LLC AGENT,,,,05/13/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,35,B,,F,INTO MISCHIEF,MISS VIGILANCE,WAR PASS,HARTLEY/DE RENZO THOROUGHBREDS AGENT,,,,01/30/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,36,DKB,,C,STREET BOSS,MOONLIT BAY,MALIBU MOON,NIALL BRENNAN STABLES AGENT VI,,,,04/19/2018,KENTUCKY,,,,
