SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
The Gulfstream Sale (2021),3/31/21,1,B,C,PRACTICAL JOKE,OLATHE,INDIAN CHARLIE,DE MERIC SALES AGENT,OUT,0,,2/27/19,KENTUCKY,25,,,,,
The Gulfstream Sale (2021),3/31/21,2,B,C,CUPID,QUEEN CONGIE,HENNY HUGHES,L G AGENT,46 PEAKS EQUINE,190000,,3/22/19,KENTUCKY,23,,,,10.1,https://www.youtube.com/watch?v=6BbTrNAjafA
The Gulfstream Sale (2021),3/31/21,3,CH,F,CALIFORNIA CHROME,QUEEN OFTHE DAWN,SUN KING,CLASSIC BLOODSTOCK AGENT,OUT,0,,4/26/19,NEW YORK,23,,,https://vimeo.com/529153775,10.4,https://www.youtube.com/watch?v=snZvvJBrr4I
The Gulfstream Sale (2021),3/31/21,4,DKB,F,PRACTICAL JOKE,QUEEN OF THE NIGHT (GB),SADLER'S WELLS,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,3/20/19,NEW YORK,23,,,,10.3,https://www.youtube.com/watch?v=1EgsnNWJH6Y
The Gulfstream Sale (2021),3/31/21,5,B,C,ARROGATE,REHEAR,CORONADO'S QUEST,WHITE LILAC AGENT,OUT,0,,5/3/19,KENTUCKY,23,,,,10.4,https://www.youtube.com/watch?v=FMnpHjbFd5A
The Gulfstream Sale (2021),3/31/21,6,B,C,LAOBAN,RIGHT PREVAILS,SUCCESSFUL APPEAL,SEQUEL BLOODSTOCK AGENT,MICHAEL J. MAKER,150000,,3/20/19,NEW YORK,23,,,https://vimeo.com/514984183,10.3,https://www.youtube.com/watch?v=N03LDNxMkzw
The Gulfstream Sale (2021),3/31/21,7,CH,C,PRACTICAL JOKE,ROAMING,QUALITY ROAD,DE MERIC SALES AGENT,NOT SOLD,265000,,2/24/19,KENTUCKY,25,,,https://vimeo.com/528625383,10.2,https://www.youtube.com/watch?v=BMJrXhbqhpM
The Gulfstream Sale (2021),3/31/21,9,DKB,F,MALIBU MOON,SARAVATI,GIANT'S CAUSEWAY,CARY FROMMER AGENT,FINN GREEN,150000,,3/28/19,NEW YORK,24,,,,10.3,https://www.youtube.com/watch?v=XLd6miotS3w
The Gulfstream Sale (2021),3/31/21,10,B,C,OUTWORK,SAY'S WHO,YES IT'S TRUE,SCANLON TRAINING & SALES AGENT FOR EXCEL BLOODSTOCK (BRUNO DEBERDT),REPOLE ST. ELIAS WEST POINT,475000,,2/10/19,KENTUCKY,23,,,https://vimeo.com/524058408,10.1,https://www.youtube.com/watch?v=r1nnqDee_d8
The Gulfstream Sale (2021),3/31/21,11,B,C,INTO MISCHIEF,SCA DOODLE,SCAT DADDY,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XIV,BLUEWATER AGENT,350000,,3/28/19,KENTUCKY,23,,,https://vimeo.com/526925435,10.2,https://www.youtube.com/watch?v=VlG-3kjINaQ
The Gulfstream Sale (2021),3/31/21,12,CH,C,AMERICAN PHAROAH,SCAT MEANS GO,SCAT DADDY,GENE RECIO AGENT,ERJ RACING,285000,Y,4/13/19,KENTUCKY,24,,,https://vimeo.com/528914417,10.2,https://www.youtube.com/watch?v=3qt_JeQcjPM
The Gulfstream Sale (2021),3/31/21,13,B,C,CURLIN,SEA ISLAND,PULPIT,EDDIE WOODS AGENT XXII,OUT,0,,4/29/19,KENTUCKY,24,,,https://vimeo.com/524658522,11,https://www.youtube.com/watch?v=-xp7a2EKaO8
The Gulfstream Sale (2021),3/31/21,14,CH,C,GUN RUNNER,SEATTLE'S BEST,MUNNINGS,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP II,AUGUST DAWN FARM,150000,,2/22/19,NEW YORK,23,,,https://vimeo.com/528107522,G,https://www.youtube.com/watch?v=rNsyqTsh2NI
The Gulfstream Sale (2021),3/31/21,15,B,C,MALIBU MOON,SEEKING ATLANTIS,SEEKING THE GOLD,EDDIE WOODS AGENT XXII,OUT,0,,4/14/19,KENTUCKY,24,,,,,
The Gulfstream Sale (2021),3/31/21,16,DKB,C,MORE THAN READY,SEPARATE FOREST,FORESTRY,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP I,NOT SOLD,115000,,5/10/19,KENTUCKY,23,,,https://vimeo.com/528107568,G,https://www.youtube.com/watch?v=71Jn_xVSDdc
The Gulfstream Sale (2021),3/31/21,17,CH,F,GUN RUNNER,SHANANIES SONG,ELTISH,TOM MCCROCKLIN AGENT II,NOT SOLD,340000,,2/8/19,KENTUCKY,24,,,https://vimeo.com/529126765,21.4,https://www.youtube.com/watch?v=APASs4A-KH4
The Gulfstream Sale (2021),3/31/21,18,GRR,C,MIDSHIPMAN,SHARP FINNISH,PETIONVILLE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XI,ARTHUR HOYEAU AGENT,375000,,2/20/19,KENTUCKY,23,,,https://vimeo.com/526926169,10.1,https://www.youtube.com/watch?v=DBcAZU2wD6M
The Gulfstream Sale (2021),3/31/21,19,DKB,F,ARROGATE,SHE BE WILD,OFFLEE WILD,SEQUEL BLOODSTOCK AGENT,KATSUMI YOSHIDA,550000,,3/31/19,KENTUCKY,23,,,https://vimeo.com/514985617,10,https://www.youtube.com/watch?v=DmOWJeV6TkY
The Gulfstream Sale (2021),3/31/21,20,DKB,C,PIONEEROF THE NILE,SKIPSTONE,MONTBROOK,PICK VIEW LLC AGENT,OUT,0,,2/2/19,VIRGINIA,23,,,https://vimeo.com/528106580,10.4,https://www.youtube.com/watch?v=cwJx_saujEE
The Gulfstream Sale (2021),3/31/21,21,B,C,CUPID,SNOW,QUALITY ROAD,EDDIE WOODS AGENT LII,OUT,0,,3/3/19,NEW YORK,24,,,,,
The Gulfstream Sale (2021),3/31/21,22,CH,C,GUN RUNNER,SOMALIA,MINESHAFT,MCKATHAN BROS. SALES AGENT,OUT,0,,2/25/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,23,B,F,UNCAPTURED,SONG OF ROYALTY,UNBRIDLED'S SONG,RANDY BRADSHAW AGENT III,OUT,0,,3/17/19,FLORIDA,23,,,https://vimeo.com/526742181/1af244649d,10.3,https://www.youtube.com/watch?v=rgc_6lcKg-U
The Gulfstream Sale (2021),3/31/21,24,B,F,FLATTER,SONG SUNG TRUE,UNBRIDLED'S SONG,HARTLEY/DE RENZO THOROUGHBREDS AGENT,CHEYENNE STABLES/ GAILLARDIA RACING LLC,400000,,3/27/19,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=RpgG_OMs1cc
The Gulfstream Sale (2021),3/31/21,25,B,C,VIOLENCE,SOPHRONIA,STREET SENSE,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP I,DIRICO R & B LLC AND PAUL DIRICO,130000,Y,3/16/19,KENTUCKY,23,,,https://vimeo.com/528107624,G,https://www.youtube.com/watch?v=9MFz9M-waS0
The Gulfstream Sale (2021),3/31/21,26,B,C,TIZNOW,SPECIAL TREAT,CANDY RIDE (ARG),HOBY & LAYNA KIGHT AGENT,SEAN DOWNES,110000,,2/14/19,KENTUCKY,23,,,,22.2,https://www.youtube.com/watch?v=ntyvIqQL-sw
The Gulfstream Sale (2021),3/31/21,27,DKB,C,SPEIGHTSTOWN,DESIRE STREET,CONGRATS,DE MERIC SALES AGENT,CHERIE DEVAUX/MYRACEHORSE.COM,160000,Y,2/20/19,KENTUCKY,25,,,https://vimeo.com/528625430,10.1,https://www.youtube.com/watch?v=ig1u7g4ytos
The Gulfstream Sale (2021),3/31/21,28,B,C,NYQUIST,SPINNING WHEEL,SMART STRIKE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT VIII,JAMIE MCCALMONT AGENT FOR M.V. MAGNIER,2600000,,2/4/19,KENTUCKY,23,,,https://vimeo.com/526926854,9.4,https://www.youtube.com/watch?v=ZMJPHZOhIjg
The Gulfstream Sale (2021),3/31/21,29,DKB,C,NYQUIST,SPIRIT OF THE DAWN,MALIBU MOON,EDDIE WOODS AGENT FOR THE COMPLETE DISPERSAL OF THE ESTATE OF PAUL POMPA JR.,SPENDTHRIFT FARM LLC AND WEST POINT THBDS,900000,,2/1/19,KENTUCKY,24,,,https://vimeo.com/524658720,10.2,https://www.youtube.com/watch?v=s9yKJ7WNiR0
The Gulfstream Sale (2021),3/31/21,30,B,C,KLIMT,SPRING STREET,STREET CRY (IRE),DE MERIC SALES AGENT,BFI PRODUCTS,140000,Y,3/7/19,KENTUCKY,25,,,https://vimeo.com/528625475,10.3,https://www.youtube.com/watch?v=zAmKWrngIHQ
The Gulfstream Sale (2021),3/31/21,31,B,C,PRACTICAL JOKE,S S PINAFORE,STREET SENSE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT III,MATAICHIRO YAMAMOTO,100000,,4/19/19,KENTUCKY,23,,,https://vimeo.com/526927663,10.4,https://www.youtube.com/watch?v=gAr71D1kJ38
The Gulfstream Sale (2021),3/31/21,32,GRR,F,LIAM'S MAP,STELLABYMOONLIGHT,MALIBU MOON,SBM TRAINING & SALES LLC AGENT,OUT,0,,5/8/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,33,CH,C,MASTERY,STORMY REGATTA,MIDSHIPMAN,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XII,NOT SOLD,245000,,3/28/19,KENTUCKY,23,,,https://vimeo.com/526928476,10.3,https://www.youtube.com/watch?v=nY0loaWOjME
The Gulfstream Sale (2021),3/31/21,34,CH,C,GUN RUNNER,STORMY TAK,STORMY ATLANTIC,CLASSIC BLOODSTOCK AGENT,JOHN C. KIMMEL AGENT FOR SEAN FLANAGAN,450000,Y,4/25/19,PENNSYLVANIA,23,,,https://vimeo.com/529153752,10.2,https://www.youtube.com/watch?v=YiW25qJy1RQ
The Gulfstream Sale (2021),3/31/21,35,DKB,F,BERNARDINI,SUPER ALLISON,SUPER SAVER,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP III,DE MERIC SALES LLC,40000,Y,4/29/19,KENTUCKY,23,,,https://vimeo.com/528107705,G,https://www.youtube.com/watch?v=06MiYeWXk90
The Gulfstream Sale (2021),3/31/21,36,B,C,QUALITY ROAD,SURFSIDE TIARA,SCAT DADDY,DE MERIC SALES AGENT,NOT SOLD,400000,,3/17/19,FLORIDA,25,,,https://vimeo.com/528625513,10,https://www.youtube.com/watch?v=nVzUUIy4tIE
The Gulfstream Sale (2021),3/31/21,37,B,C,TIZNOW,SURPRISES WELCOMED,STORM CAT,SEQUEL BLOODSTOCK AGENT,OUT,0,,5/20/19,KENTUCKY,23,,,,,
